                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1036,                 4.8005,                 1.7303,                0.06183,                0.07724,                0.03085,                0.01732,                 1.8519,                 3.9402,                 1.7467,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.9459,                 3.4743,                 1.6512,                0.87853,                0.19004,                0.21154,                0.11692,                 1.7081,                 2.6167,                 1.5548,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      3,                 1.7899,                 2.2178,                 1.5483,                0.88998,                0.34582,                0.38024,                 0.1937,                 1.6093,                 1.9723,                 1.4285,             0.00010695,             0.00010695,             0.00010695
                      4,                 1.7018,                 1.7501,                 1.3801,                0.94212,                0.38211,                0.46164,                0.24834,                 1.4606,                 1.9863,                 1.3027,             0.00012891,             0.00012891,             0.00012891
                      5,                 1.5618,                 1.4755,                 1.3295,                0.43494,                0.49156,                0.48247,                0.26686,                 1.3833,                 1.7737,                 1.2344,             0.00014096,             0.00014096,             0.00014096
                      6,                 1.5987,                 1.4086,                 1.2918,                0.38649,                0.56848,                0.42612,                0.22547,                 1.3709,                  1.999,                  1.221,             0.00014311,             0.00014311,             0.00014311
                      7,                 1.6286,                 1.2264,                 1.3014,                0.53151,                0.53002,                0.57383,                0.29743,                 1.3474,                 1.8356,                 1.2138,             0.00013536,             0.00013536,             0.00013536
                      8,                 1.5362,                 1.1167,                 1.3218,                0.56991,                0.53408,                0.58639,                0.30659,                 1.3339,                 1.7057,                 1.2078,             0.00011771,             0.00011771,             0.00011771
                      9,                 1.5587,                 1.0598,                 1.2719,                0.65822,                0.50879,                0.61982,                0.31399,                  1.288,                 1.4623,                 1.1891,             9.0151e-05,             9.0151e-05,             9.0151e-05
                     10,                 1.5133,                 1.0438,                  1.232,                0.61413,                0.49683,                0.60715,                0.32103,                 1.2722,                 1.3676,                 1.1831,             5.2694e-05,             5.2694e-05,             5.2694e-05
