                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1036,                 4.8005,                 1.7303,                0.12487,                0.04688,                0.02867,                0.01755,                 1.8731,                 3.9444,                 1.7744,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.9545,                 3.4744,                 1.6673,                0.92597,                0.17188,                0.20211,                 0.1162,                 1.7223,                 2.7464,                 1.5992,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      3,                 1.7697,                 2.1722,                 1.4539,                0.90179,                0.31965,                0.37661,                0.19577,                 1.5701,                 2.1959,                 1.4806,             0.00010695,             0.00010695,             0.00010695
                      4,                 1.7024,                 1.8112,                 1.4141,                0.91812,                0.36328,                0.46728,                0.24618,                 1.4935,                 2.2503,                  1.417,             0.00012891,             0.00012891,             0.00012891
                      5,                   1.59,                 1.4417,                 1.2812,                0.34048,                0.70368,                0.48046,                 0.2307,                 1.4843,                 2.2166,                 1.3492,             0.00014096,             0.00014096,             0.00014096
                      6,                 1.5826,                 1.3804,                 1.2631,                0.36549,                0.59263,                0.37151,                0.15733,                 1.4874,                 2.8498,                 1.3338,             0.00014311,             0.00014311,             0.00014311
                      7,                 1.5585,                 1.1576,                 1.2442,                0.39065,                0.72266,                0.48669,                0.22683,                  1.448,                 2.1362,                  1.294,             0.00013536,             0.00013536,             0.00013536
                      8,                 1.5114,                 1.1636,                 1.3049,                0.42494,                0.63883,                0.60161,                0.29697,                  1.424,                 1.8847,                 1.2802,             0.00011771,             0.00011771,             0.00011771
                      9,                 1.5038,                 1.0719,                 1.2752,                 0.5582,                0.61998,                0.64233,                0.32123,                 1.3986,                 1.7213,                 1.2668,             9.0151e-05,             9.0151e-05,             9.0151e-05
                     10,                 1.4801,                0.99519,                 1.2574,                0.62258,                0.60826,                0.66459,                0.32828,                  1.388,                 1.5751,                 1.2617,             5.2694e-05,             5.2694e-05,             5.2694e-05
